lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
21,1,9,20,21,1,0,23,1
3,24,19,3,3,24,18,4,1
3,15,19,6,3,15,18,7,1
18,4,11,18,18,1,14,18,1
4,18,3,20,4,18,0,23,1
4,6,3,24,3,7,3,24,1
3,24,10,18,3,24,9,19,1
7,0,16,18,6,1,16,18,1
3,21,19,2,3,18,22,2,1
19,0,25,3,19,0,24,4,1
1,24,19,3,1,24,18,4,1
4,6,9,24,3,7,9,24,1
3,16,0,20,3,7,9,20,1
4,18,9,24,3,19,9,24,1
3,21,7,6,0,22,7,6,1
10,6,18,19,9,7,18,19,1
1,11,21,18,1,11,18,19,1
1,12,20,18,1,9,23,18,1
12,18,1,24,12,18,0,25,1
1,21,19,18,0,22,19,18,1
21,0,22,6,18,3,22,6,1
21,3,6,7,18,4,6,7,1
1,21,24,1,0,22,24,1,1
3,21,19,18,3,18,22,18,1
3,21,19,18,0,22,19,18,1
3,19,19,18,0,22,19,18,1
3,7,19,18,3,7,18,19,1
9,4,24,18,9,1,25,18,1
12,0,25,6,3,9,25,6,1
12,18,6,19,3,21,6,19,1
21,0,22,18,21,0,19,19,1
9,22,0,20,9,19,3,20,1
10,18,3,8,9,19,3,8,1
3,15,19,18,3,6,22,18,1
21,18,3,19,21,18,0,22,1
19,1,9,20,19,0,10,20,1
19,1,6,21,19,0,7,21,1
12,18,1,20,9,19,1,20,1
21,1,9,20,21,0,10,20,1
6,19,10,18,6,19,9,19,1
18,4,21,18,18,1,22,18,1
19,1,9,20,19,1,0,23,1
9,22,0,24,9,19,3,24,1
21,1,9,20,18,4,9,20,1
12,0,25,18,3,9,25,18,1
3,21,19,6,3,18,22,6,1
7,3,9,24,7,0,10,24,1
3,24,4,18,3,24,3,19,1
21,1,6,21,21,0,7,21,1
12,6,18,7,3,15,18,7,1
12,0,25,6,3,3,25,6,1
21,0,22,6,21,0,19,7,1
1,21,24,3,1,18,25,3,1
21,3,18,19,18,4,18,19,1
19,3,18,19,18,4,18,19,1
19,3,9,24,18,4,9,24,1
19,3,18,19,19,0,21,19,1
19,3,6,19,18,4,6,19,1
21,0,25,3,18,3,25,3,1
1,21,15,18,1,21,6,21,1
24,1,9,21,24,0,10,21,1
6,7,10,18,6,7,9,19,1
