,line 1,line 2,line 3,line 4,piece to move,place to occupy,possibility of win
137,1001,2211,3000,4202,5112,6022,-0.23214285714285715
138,1001,2211,3000,4220,5111,6021,-0.3571428571428571
139,1001,2211,3000,4220,5111,6022,-0.6666666666666666
140,1001,2211,3000,4220,5112,6022,-0.2142857142857143
141,1001,2212,3000,4021,5111,6022,-0.5666666666666667
142,1001,2212,3000,4201,5111,6021,-0.16666666666666666
143,1001,2212,3000,4201,5111,6022,-0.2
144,1001,2212,3000,4210,5111,6022,-0.125
145,1001,2220,3011,4002,5102,6012,-1.1666666666666665
146,1001,2220,3011,4002,5121,6031,-1.0416666666666665
147,1001,2220,3011,4020,5102,6012,-0.29166666666666663
148,1001,2220,3011,4020,5121,6032,-0.5
149,1001,2220,3011,4020,5122,6032,-0.125
150,1001,2220,3011,4200,5102,6012,-0.7916666666666666
151,1001,2220,3011,4200,5122,6032,-0.25
152,1001,2220,3021,4001,5102,6012,-0.3333333333333333
153,1001,2220,3021,4010,5102,6012,-0.125
154,1001,2220,3021,4010,5122,6032,-0.125
155,1001,2220,3101,4200,5102,6012,-0.125
156,1001,2220,3101,4200,5120,6031,-0.25
157,1001,2220,3201,4001,5102,6012,-1.5
158,1001,2220,3201,4010,5102,6012,-0.25
159,1001,2220,3201,4010,5122,6032,0.0357142857142857
160,1001,2221,3000,4021,5112,6022,-2.0
161,1001,2221,3000,4201,5112,6022,-0.6666666666666666
162,1001,2221,3000,4210,5112,6022,-0.35714285714285715
163,1010,2011,3202,4020,5111,6021,-2.047619047619048
164,1010,2011,3202,4200,5111,6021,-1.1964285714285712
165,1010,2011,3220,4002,5111,6022,-2.482142857142857
166,1010,2011,3220,4002,5112,6022,-0.7916666666666666
167,1010,2011,3220,4020,5111,6022,-0.3333333333333333
168,1010,2011,3220,4020,5112,6022,-0.8809523809523809
169,1010,2011,3220,4200,5111,6022,-0.5238095238095237
170,1010,2011,3220,4200,5112,6022,-0.2380952380952381
171,1010,2021,3021,4200,5122,6032,0.14285714285714285
172,1010,2021,3102,4200,5120,6031,-1.0
173,1010,2021,3120,4200,5112,6022,0.1964285714285714
174,1010,2021,3120,4200,5120,6031,0.4464285714285714
175,1010,2021,3201,4020,5122,6032,-0.3333333333333333
176,1010,2021,3201,4200,5122,6032,0.11904761904761904
177,1010,2021,3210,4020,5112,6022,-1.2976190476190477
178,1010,2021,3210,4020,5121,6032,-1.3333333333333333
179,1010,2021,3210,4200,5112,6022,0.4047619047619047
180,1010,2021,3210,4200,5121,6031,-0.10714285714285715
181,1010,2021,3210,4200,5121,6032,-0.19047619047619047
182,1010,2021,3220,4001,5112,6022,-1.1666666666666665
183,1010,2021,3220,4010,5112,6022,-0.125
184,1010,2101,3022,4200,5101,6011,-2.6666666666666665
185,1010,2101,3022,4200,5110,6020,-0.5892857142857143
186,1010,2101,3202,4020,5101,6011,-3.3333333333333335
187,1010,2101,3202,4020,5110,6021,-1.5666666666666669
188,1010,2101,3202,4200,5101,6011,1.9999999999999998
189,1010,2101,3202,4200,5110,6021,-0.0892857142857143
190,1010,2101,3220,4002,5101,6011,-5.666666666666665
191,1010,2101,3220,4002,5112,6022,-1.982142857142857
192,1010,2101,3220,4020,5101,6011,2.333333333333333
193,1010,2101,3220,4020,5112,6022,-0.4880952380952381
194,1010,2101,3220,4200,5101,6011,1.9999999999999998
195,1010,2101,3220,4200,5112,6022,0.8226190476190476
196,1010,2120,3021,4200,5101,6012,-0.125
197,1010,2120,3201,4002,5101,6012,-1.9166666666666667
198,1010,2120,3201,4002,5110,6021,-1.005952380952381
199,1010,2120,3201,4020,5101,6012,-0.625
